hello, ハロー
computer, コンピューター
game, ゲーム
music, ミュージック
water, ウォーター
book, ブック
cat, キャット
dog, ドッグ
apple, アップル
banana, バナナ
coffee, コーヒー
school, スクール
friend, フレンド
time, タイム
food, フード
car, カー
phone, フォン
house, ハウス
city, シティ
world, ワールド
meeting, ミーティング  
schedule, スケジュール  
project, プロジェクト  
report, レポート  
document, ドキュメント  
team, チーム  
email, イーメール  
office, オフィス  
manager, マネージャー  
computer, コンピューター  
keyboard, キーボード  
internet, インターネット  
data, データ  
system, システム  
software, ソフトウェア  
presentation, プレゼンテーション  
design, デザイン  
service, サービス  
idea, アイデア  
customer, カスタマー  
server, サーバー  
password, パスワード  
security, セキュリティ  
network, ネットワーク  
application, アプリケーション  
update, アップデート  
download, ダウンロード  
login, ログイン  
logout, ログアウト  
support, サポート  
user, ユーザー  
option, オプション  
monitor, モニター  
mouse, マウス  
printer, プリンター  
error, エラー  
engineer, エンジニア  
feedback, フィードバック  
startup, スタートアップ  
pizza, ピザ  
hamburger, ハンバーガー  
sandwich, サンドイッチ  
cheese, チーズ  
milk, ミルク  
butter, バター  
juice, ジュース  
beer, ビール  
wine, ワイン  
salad, サラダ  
chocolate, チョコレート  
ice cream, アイスクリーム  
curry, カレー  
steak, ステーキ  
pasta, パスタ  
cake, ケーキ  
bath, バス  
shower, シャワー  
toilet, トイレ  
remote, リモコン  
key, キー  
bag, バッグ  
mirror, ミラー  
light, ライト  
camera, カメラ  
card, カード  
battery, バッテリー  
coin, コイン  
button, ボタン  
ticket, チケット  
pen, ペン  
notebook, ノートブック  
movie, ムービー  
drama, ドラマ  
actor, アクター  
idol, アイドル  
music video, ミュージックビデオ  
event, イベント  
concert, コンサート  
live, ライブ  
fan, ファン  
game, ゲーム  
voice, ボイス  
animation, アニメーション  
comic, コミック  
soccer, サッカー  
baseball, ベースボール  
basketball, バスケットボール  
tennis, テニス  
golf, ゴルフ  
training, トレーニング  
yoga, ヨガ  
dance, ダンス  
run, ラン  
ski, スキー  
surfing, サーフィン  
doctor, ドクター  
nurse, ナース  
hospital, ホスピタル  
clinic, クリニック  
medicine, メディスン  
virus, ウイルス  
mask, マスク  
stress, ストレス  
diet, ダイエット  
vitamin, ビタミン  
checkup, チェックアップ  

